device_sn,sensor,port,datetime,precipitation.value,precipitation.error_flag,precipitation.error_description,atmospheric_pressure.value,atmospheric_pressure.error_flag,atmospheric_pressure.error_description,rh_sensor_temp.value,rh_sensor_temp.error_flag,rh_sensor_temp.error_description,gust_speed.value,gust_speed.error_flag,gust_speed.error_description,vpd.value,vpd.error_flag,vpd.error_description,wind_speed.value,wind_speed.error_flag,wind_speed.error_description,air_temperature.value,air_temperature.error_flag,air_temperature.error_description,vapor_pressure.value,vapor_pressure.error_flag,vapor_pressure.error_description,lightning_activity.value,lightning_activity.error_flag,lightning_activity.error_description,x_axis_level.value,x_axis_level.error_flag,x_axis_level.error_description,y_axis_level.value,y_axis_level.error_flag,y_axis_level.error_description,max_precip_rate.value,max_precip_rate.error_flag,max_precip_rate.error_description,wind_direction.value,wind_direction.error_flag,wind_direction.error_description,solar_radiation.value,solar_radiation.error_flag,solar_radiation.error_description,lightning_distance.value,lightning_distance.error_flag,lightning_distance.error_description,soil_temperature.value,soil_temperature.error_flag,soil_temperature.error_description,bulk_ec.value,bulk_ec.error_flag,bulk_ec.error_description,water_content.value,water_content.error_flag,water_content.error_description,matric_potential.value,matric_potential.error_flag,matric_potential.error_description
z6-19484,ATM-410008161,1,2023-10-01T18:00:00Z,0,FALSE,NA,92.65,FALSE,NA,33.2,FALSE,NA,2.65,FALSE,NA,3.21,FALSE,,0.59,FALSE,NA,29.5,FALSE,NA,0.914,FALSE,NA,0,FALSE,NA,-0.3,FALSE,NA,-0.4,FALSE,NA,0,FALSE,NA,152,FALSE,NA,300,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z6-19484,ATM-410008161,1,2023-10-01T19:00:00Z,0,FALSE,NA,92.59,FALSE,NA,33.4,FALSE,NA,4.56,FALSE,NA,3.46,FALSE,,0.74,FALSE,NA,30.5,FALSE,NA,0.907,FALSE,NA,0,FALSE,NA,-0.3,FALSE,NA,-0.4,FALSE,NA,0,FALSE,NA,166,FALSE,NA,349.9,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z6-19484,ATM-410008161,1,2023-10-01T20:00:00Z,0,FALSE,NA,92.53,FALSE,NA,32.7,FALSE,NA,3.32,FALSE,NA,3.77,FALSE,,0.89,FALSE,NA,31.7,FALSE,NA,0.903,FALSE,NA,0,FALSE,NA,-0.4,FALSE,NA,-0.4,FALSE,NA,0,FALSE,NA,201,FALSE,NA,96.3,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z6-19484,ATM-410008161,1,2023-10-01T21:00:00Z,0,FALSE,NA,92.44,FALSE,NA,33.4,FALSE,NA,4.59,FALSE,NA,3.81,FALSE,,1.08,FALSE,NA,32,FALSE,NA,0.937,FALSE,NA,0,FALSE,NA,-0.3,FALSE,NA,-0.4,FALSE,NA,0,FALSE,NA,182,FALSE,NA,320.3,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z6-19484,ATM-410008161,1,2023-10-01T22:00:00Z,0,FALSE,NA,92.38,FALSE,NA,33.6,FALSE,NA,4.29,FALSE,NA,3.86,FALSE,,1.03,FALSE,NA,32.6,FALSE,NA,1.055,FALSE,NA,0,FALSE,NA,-0.3,FALSE,NA,-0.4,FALSE,NA,0,FALSE,NA,177,FALSE,NA,142.2,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z6-19484,ATM-410008161,1,2023-10-01T23:00:00Z,0,FALSE,NA,92.34,FALSE,NA,33.3,FALSE,NA,6.02,FALSE,NA,3.85,FALSE,,1,FALSE,NA,32.4,FALSE,NA,1.02,FALSE,NA,0,FALSE,NA,-0.3,FALSE,NA,-0.4,FALSE,NA,0,FALSE,NA,180,FALSE,NA,179.2,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z6-19484,ATM-410008161,1,2023-10-02T00:00:00Z,0,FALSE,NA,92.33,FALSE,NA,32.8,FALSE,NA,5.88,FALSE,NA,3.75,FALSE,,0.95,FALSE,NA,32.1,FALSE,NA,1.017,FALSE,NA,0,FALSE,NA,-0.4,FALSE,NA,-0.5,FALSE,NA,0,FALSE,NA,170,FALSE,NA,74.8,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z6-19484,ATM-410008161,1,2023-10-02T01:00:00Z,0,FALSE,NA,92.36,FALSE,NA,31.3,FALSE,NA,3.07,FALSE,NA,3.52,FALSE,,0.79,FALSE,NA,31.1,FALSE,NA,1.008,FALSE,NA,0,FALSE,NA,-0.4,FALSE,NA,-0.5,FALSE,NA,0,FALSE,NA,106,FALSE,NA,12.9,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z6-19484,ATM-410008161,1,2023-10-02T02:00:00Z,0,FALSE,NA,92.4,FALSE,NA,29.7,FALSE,NA,2.53,FALSE,NA,3.17,FALSE,,0.71,FALSE,NA,29.4,FALSE,NA,0.935,FALSE,NA,0,FALSE,NA,-0.5,FALSE,NA,-0.6,FALSE,NA,0,FALSE,NA,356,FALSE,NA,0.4,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z6-19484,ATM-410008161,1,2023-10-02T03:00:00Z,0,FALSE,NA,92.49,FALSE,NA,27.9,FALSE,NA,3.04,FALSE,NA,2.7,FALSE,,0.86,FALSE,NA,27.8,FALSE,NA,1.033,FALSE,NA,0,FALSE,NA,-0.6,FALSE,NA,-0.6,FALSE,NA,0,FALSE,NA,343,FALSE,NA,0,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
